Anger, Emotion, EmotionGroupAnger, Adjective(Angry)
Aggrivation, Emotion, EmotionGroupAnger, Adjective(Aggrivated)
Fear, Emotion, EmotionGroupFear, Adjective(Afraid)
Anxiety, Emotion, EmotionGroupFear, Adjective(Anxious)
Revulsion, Emotion, EmotionGroupFear, EmotionGroupAnger, Adjective(Revolted)
Jealousy, Emotion, EmotionGroupAnger, Adjective(Jealous)
Dread, Emotion, EmotionGroupFear, Adjective(Dreadful)
Terror, Emotion, EmotionGroupFear, Adjective(Terrified)
Joy, Emotion, EmotionGroupJoy, Adjective(Joyous)
Amazement, Emotion, EmotionGroupJoy, Adjective(Amazed)
Contentment, Emotion, EmotionGroupJoy, Adjective(Contented)
Pride, Emotion, EmotionGroupJoy, Adjective(Proud)
Relief, Emotion, EmotionGroupJoy, Adjective(Relieved)
Satisfaction, Emotion, EmotionGroupJoy, Adjective(Satisfied)
Love, Emotion, EmotionGroupLove, Adjective(Loving)
Lust, Emotion, EmotionGroupLove, Adjective(Lustful)
Attraction, Emotion, EmotionGroupLove, Adjective(Attracted)
Sadness, Emotion, EmotionGroupSadness, Adjective(Sad)
Anguish, Emotion, EmotionGroupSadness, Adjective(Anguished)
Depression, Emotion, EmotionGroupSadness, Adjective(Depressed)
Grief, Emotion, EmotionGroupSadness, Adjective(Grieving)
Guilt, Emotion, EmotionGroupSadness, Adjective(Guilty)
Loneliness, Emotion, EmotionGroupSadness, Adjective(Lonely)
Longing, Emotion, EmotionGroupSadness, Adjective(Longful)
Surprise, Emotion, EmotionGroupSurprise, Adjective(Surprised)
Confusion, Emotion, EmotionGroupSurprise, Adjective(Confused)
Panic, Emotion, EmotionGroupSurprise, Adjective(Panicked)
